id_partida,id_competicao,id_temporada,id_area,id_casa,id_fora,id_arbitro,data_partida,status,rodada,resultado,placar_casa_intervalo,placar_casa_final,placar_fora_intervalo,placar_fora_final
554740,2013,2474,2032,1766,1769,206800.0,2026-01-28 22:00:00,FINALIZADO,1,EMPATE,1,2,1,2
554744,2013,2474,2032,4241,4286,206954.0,2026-01-28 22:00:00,FINALIZADO,1,VISITANTE,0,0,0,1
554746,2013,2474,2032,6684,1768,11237.0,2026-01-28 22:00:00,FINALIZADO,1,VISITANTE,0,0,1,1
554749,2013,2474,2032,1782,4287,18754.0,2026-01-28 22:00:00,FINALIZADO,1,MANDANTE,0,2,0,0
554745,2013,2474,2032,1765,1767,244605.0,2026-01-28 22:30:00,FINALIZADO,1,MANDANTE,0,2,0,1
554742,2013,2474,2032,1772,6685,206907.0,2026-01-28 23:00:00,FINALIZADO,1,MANDANTE,1,4,1,2
554743,2013,2474,2032,1779,1777,11161.0,2026-01-28 23:00:00,FINALIZADO,1,VISITANTE,1,1,2,2
554748,2013,2474,2032,1776,1783,11412.0,2026-01-29 00:30:00,FINALIZADO,1,MANDANTE,0,2,0,1
554747,2013,2474,2032,4364,1780,206944.0,2026-01-29 23:00:00,FINALIZADO,1,MANDANTE,1,2,1,1
554741,2013,2474,2032,1770,1771,206929.0,2026-01-30 00:30:00,FINALIZADO,1,MANDANTE,0,4,0,0
554752,2013,2474,2032,4286,1766,56755.0,2026-02-04 22:00:00,FINALIZADO,2,MANDANTE,1,1,0,0
554754,2013,2474,2032,1783,6684,206944.0,2026-02-04 22:00:00,FINALIZADO,2,EMPATE,0,1,1,1
554757,2013,2474,2032,4287,4364,157663.0,2026-02-04 23:00:00,FINALIZADO,2,EMPATE,2,2,0,2
554758,2013,2474,2032,6685,1776,11161.0,2026-02-04 23:00:00,FINALIZADO,2,EMPATE,1,1,0,1
554755,2013,2474,2032,1767,1770,60899.0,2026-02-05 00:30:00,FINALIZADO,2,MANDANTE,1,5,2,3
554756,2013,2474,2032,1769,1782,206907.0,2026-02-05 00:30:00,FINALIZADO,2,MANDANTE,3,5,0,1
554751,2013,2474,2032,1777,1765,206929.0,2026-02-05 22:00:00,FINALIZADO,2,EMPATE,0,1,1,1
554759,2013,2474,2032,1780,1772,11412.0,2026-02-05 23:00:00,FINALIZADO,2,EMPATE,0,1,0,1
554753,2013,2474,2032,1771,4241,206800.0,2026-02-06 00:30:00,FINALIZADO,2,VISITANTE,1,1,1,2
554769,2013,2474,2032,1782,1783,11260.0,2026-02-11 00:30:00,FINALIZADO,3,VISITANTE,0,1,2,2
